Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Type,Age_Group,Gender,City,State,Region,Sales_Executive,Product_ID,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount (%),Sales,Cost,Profit,Payment_Mode,Delivery_Days,Customer_Rating,Returned
ORD100000,2025-10-16,2025-10-18,C1001,Customer 2,Returning,26-35,Male,New Delhi,Delhi,North,Executive 18,P1023,Electronics,Headphones,Headphones Model 7,38798,7,0,271586,139434.63,132151.37,Credit Card,4,5,Yes
ORD100001,2025-07-28,2025-08-01,C1045,Customer 46,Returning,26-35,Female,Raipur,Chhattisgarh,West,Executive 1,P1195,Sports,Dumbbell,Dumbbell Model 3,10563,7,25,55455.75,46216.24,9239.51,Credit Card,6,1,Yes
ORD100002,2025-01-24,2025-01-26,C1022,Customer 23,Returning,36-45,Male,Patna,Bihar,East,Executive 13,P1021,Electronics,Headphones,Headphones Model 5,36278,5,50,90695,162970.44,-72275.44,Cash,10,2,Yes
ORD100003,2024-02-16,2024-02-20,C1049,Customer 50,Returning,18-25,Male,Surat,Gujarat,West,Executive 9,P1117,Fashion,Jacket,Jacket Model 5,41760,6,10,225504,167018.64,58485.36,Credit Card,11,3,Yes
ORD100004,2025-09-15,2025-09-18,C1034,Customer 35,New,26-35,Female,Gurugram,Haryana,North,Executive 18,P1057,Furniture,Sofa,Sofa Model 1,44966,6,0,269796,162706.31,107089.69,UPI,6,4,No
ORD100005,2024-03-08,2024-03-12,C1036,Customer 37,Returning,26-35,Female,Gurugram,Haryana,North,Executive 5,P1068,Furniture,Cabinet,Cabinet Model 4,9250,4,40,22200,27473.97,-5273.97,Net Banking,10,4,No
ORD100006,2024-08-12,2024-08-15,C1032,Customer 33,Returning,18-25,Male,Ahmedabad,Gujarat,West,Executive 6,P1175,Sports,Cricket Bat,Cricket Bat Model 7,27766,10,5,263777,186905.52,76871.48,Net Banking,9,3,Yes
ORD100007,2025-11-27,2025-11-29,C1043,Customer 44,Returning,36-45,Male,Noida,Uttar Pradesh,North,Executive 6,P1117,Fashion,Jacket,Jacket Model 5,312,5,40,936,1314.9,-378.9,UPI,11,3,Yes
ORD100008,2024-06-05,2024-06-11,C1048,Customer 49,New,18-25,Female,Guwahati,Assam,East,Executive 4,P1093,Fashion,Shoes,Shoes Model 5,20253,4,0,81012,49287.07,31724.93,UPI,2,4,Yes
ORD100009,2025-06-29,2025-07-02,C1008,Customer 9,Returning,26-35,Female,Panaji,Goa,West,Executive 7,P1139,Grocery,Snacks,Snacks Model 3,49597,4,20,158710.4,134813.88,23896.52,Cash,8,5,No
