Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Type,Age_Group,Gender,City,State,Region,Sales_Executive,Product_ID,Category,Sub Category,Product_Name,Unit_Price,Quantity,Discount Percentage,Sales,Cost,Profit,Payment_Mode,Delivery_Days,Customer Rating,Returned
ORD100265,16-Jun-25,17-Jun-25,C1024,Customer 25,New,36-45,Female,Ludhiana,Punjab,North,Executive 5,P1110,Fashion,Watch,Watch Model 6,42801,10,20,342408,264333.11,"$78,074.89",Net Banking,10,3,No
ORD100534,08-Sep-25,10-Sep-25,C1033,Customer 34,Returning,26-35,Female,Patna,Bihar,East,Executive 17,P1106,Fashion,Watch,Watch Model 2,43368,4,0,173472,163719.69,"$9,752.31",Cash,1,3,Yes
ORD100608,17-Dec-25,25-Dec-25,C1041,Customer 42,Returning,46-60,Female,Ludhiana,Punjab,North,Executive 18,P1110,Fashion,Watch,Watch Model 6,34386,6,5,196000.2,189162.27,"$6,837.93",Net Banking,7,3,Yes
ORD100735,15-Oct-24,16-Oct-24,C1007,Customer 8,Returning,46-60,Female,Mysuru,Karnataka,South,Executive 9,P1109,Fashion,Watch,Watch Model 5,22215,5,0,111075,82666.11,"$28,408.89",Credit Card,5,3,No
ORD100851,18-Apr-24,20-Apr-24,C1020,Customer 21,Returning,36-45,Male,Jaipur,Rajasthan,North,Executive 7,P1107,Fashion,Watch,Watch Model 3,32245,1,20,25796,25285.85,$510.15,Cash,11,3,No
ORD100913,15-Sep-24,23-Sep-24,C1025,Customer 26,Returning,46-60,Female,Kolkata,West Bengal,East,Executive 5,P1107,Fashion,Watch,Watch Model 3,3465,4,10,12474,12524.83,($50.83),UPI,5,3,Yes
ORD100928,09-May-24,12-May-24,C1046,Customer 47,New,36-45,Female,Kochi,Kerala,South,Executive 16,P1112,Fashion,Watch,Watch Model 8,26961,2,40,32353.2,44659.34,"($12,306.14)",Cash,12,3,No
ORD101006,21-Jun-24,01-Jul-24,C1020,Customer 21,New,26-35,Female,Lucknow,Uttar Pradesh,North,Executive 4,P1111,Fashion,Watch,Watch Model 7,18148,5,0,90740,55027.31,"$35,712.69",Credit Card,11,3,Yes
ORD101213,29-Oct-25,01-Nov-25,C1032,Customer 33,New,18-25,Male,Bengaluru,Karnataka,South,Executive 14,P1109,Fashion,Watch,Watch Model 5,26958,1,10,24262.2,22046.35,"$2,215.85",UPI,1,3,Yes
ORD101235,03-Apr-24,05-Apr-24,C1045,Customer 46,Returning,26-35,Male,Patna,Bihar,East,Executive 6,P1109,Fashion,Watch,Watch Model 5,17840,9,40,96336,133132.8,"($36,796.8)",Cash,9,3,No
ORD101389,05-Nov-25,11-Nov-25,C1015,Customer 16,New,46-60,Female,Bhubaneswar,Odisha,East,Executive 17,P1111,Fashion,Watch,Watch Model 7,37578,6,35,146554.2,128250.9,"$18,303.3",Cash,1,3,Yes
ORD101391,16-May-25,24-May-25,C1012,Customer 13,New,18-25,Female,Ludhiana,Punjab,North,Executive 8,P1108,Fashion,Watch,Watch Model 4,5746,10,10,51714,53707.81,"($1,993.81)",Credit Card,12,3,Yes
ORD101420,19-May-24,23-May-24,C1043,Customer 44,New,18-25,Male,Indore,Madhya Pradesh,West,Executive 3,P1109,Fashion,Watch,Watch Model 5,40525,4,15,137785,136571.75,"$1,213.25",Credit Card,9,3,No
ORD101459,24-Sep-25,02-Oct-25,C1034,Customer 35,New,26-35,Male,Noida,Uttar Pradesh,North,Executive 12,P1110,Fashion,Watch,Watch Model 6,33679,5,20,134716,115418.97,"$19,297.03",Net Banking,10,3,Yes
ORD101478,09-Mar-25,14-Mar-25,C1008,Customer 9,Returning,46-60,Male,Bhubaneswar,Odisha,East,Executive 5,P1110,Fashion,Watch,Watch Model 6,37992,4,15,129172.8,139206.33,"($10,033.53)",UPI,6,3,Yes
